ddExp,,dd-rfr,dd-mlr,dd-lr,dd-DT,dd-svr,dd3,dd2,dd1
0.120187,0.000120187,0.123225,0.0736,0.0736,0.122837,0.154746,0.138667687,0.185447,0.119804
0.116,0.000116,0.1086,0.1307,0.0307,0.117,0.161347,0.152518062,0.146525,0.101929
0.113017,0.000113017,0.10982,0.122024,0.222024,0.113017,0.116374,0.120772676,0.173222,0.112656
0.108,0.000108,0.108,0.16210675,0.210675,0.108,0.105497,0.106150906,0.150251,0.107604
0.108,0.000108,0.1088,0.0993,0.0593,0.11,0.167366,0.106150906,0.150251,0.107604
0.108,0.000108,0.108,0.0516029,0.0216029,0.108,0.108102,0.106150906,0.150251,0.107604
0.0994,0.0000994,0.0994,0.0825824,0.0225824,0.0994,0.108553,0.093551359,0.131848,0.0991
0.0994,0.0000994,0.0994,0.0516533,0.0216533,0.0994,0.106005,0.093551359,0.131848,0.0991
0.0994,0.0000994,0.0994,0.0823432,0.0223432,0.0994,0.107879,0.093551359,0.131848,0.0991
0.0972,0.0000972,0.0972,0.0509265,0.0209265,0.0972,0.103631,0.117361158,0.121218,0.0969
0.0972,0.0000972,0.0972,0.0587163,0.0987163,0.0972,0.0929,0.117361158,0.121218,0.0969
0.089,0.000089,0.0961,0.0664089,0.164089,0.089,0.169956,0.117361158,0.130281,0.0902
0.08,0.00008,0.08,0.0641143,0.0341143,0.08,0.135642,0.08287411,0.156983,0.089
0.08,0.00008,0.08,0.0610462,0.0310462,0.08,0.135094,0.08287411,0.156983,0.089
0.075,0.000075,0.0778,0.0986,0.0786,0.075,0.0179042,0.103632758,0.123212,0.0852
0.068,0.000068,0.0804,0.047,0.017,0.117,0.0176721,0.098269927,0.120311,0.0831
0.06,0.00006,0.06,0.0584967,0.0184967,0.06,0.0897,0.060026716,0.0262,0.0306
0.06,0.00006,0.06,0.0743922,0.0443922,0.06,0.0252,0.060026716,0.0262,0.0306
0.06,0.00006,0.06,0.0840282,0.0440282,0.06,0.0237,0.060026716,0.0262,0.0306
