y,u
0,4.85E-14
0.004780218,1.15E-01
0.006420861,1.54E-01
0.007833757,1.88E-01
0.009986511,2.40E-01
0.0158828,3.72E-01
0.017572605,4.10E-01
0.019118101,4.45E-01
0.02199941,5.09E-01
0.037646934,7.95E-01
0.038346858,8.08E-01
0.0495906,1.02E+00
0.061181001,1.23E+00
0.06169342,1.24E+00
0.063640952,1.27E+00
0.065072928,1.29E+00
0.068836261,1.33E+00
0.0779832,1.43E+00
0.125517688,1.85E+00
0.125713151,1.85E+00
0.126102233,1.85E+00
0.144229907,1.93E+00
0.168275793,1.98E+00
0.184450937,2.01E+00
0.186476278,2.01E+00
0.203831047,2.01E+00
0.234467302,1.99E+00
0.255395007,1.95E+00
0.257553794,1.95E+00
0.266217151,1.92E+00
0.299798053,1.81E+00
0.315031335,1.77E+00
0.326642668,1.73E+00
0.340250711,1.69E+00
0.368369645,1.57E+00
0.390888384,1.48E+00
0.400960226,1.43E+00
0.416458165,1.36E+00
0.423348728,1.33E+00
0.460281504,1.15E+00
0.485571756,1.03E+00
0.495333407,9.76E-01
0.500596573,9.48E-01
0.512572265,8.84E-01
0.534608012,7.66E-01
0.55623993,6.51E-01
0.562713886,6.16E-01
0.564786144,6.05E-01
0.574195975,5.54E-01
0.590848874,4.64E-01
0.620604667,3.12E-01
0.631150957,2.62E-01
0.638876357,2.25E-01
0.677840469,7.85E-02
0.730756695,-0.19203313
0.731133303,-0.193379693
0.732279346,-0.196216576
0.794382789,-0.338922958
0.807987857,-0.371062694
0.824895442,-0.396969277
0.846779103,-0.390542347
0.849928,-0.390854289
0.866056301,-0.392473044
0.873067528,-0.387451169
0.88833752,-0.376523202
0.913166618,-0.352091854
0.942512782,-0.264687017
0.951253238,-0.23851787
0.962974797,-0.201655491
0.966731321,-0.189842407
0.968627674,-0.181478458
0.96927117,-0.178639013
0.98111219,-0.126278762
0.988469526,-0.093644154
0.989542898,-0.088111965
0.98994728,-0.08602749
1,-0.034160363
