,Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
202,9.68866,620528,19.3757436,Water,Pressure,0.00443,3.270644389,0.000664465,0.03,0.00076,7,0.001963,0.0009,0.6,1000
203,19.59943865,245043.2162,12.83997959,Water,Pressure,0.005,3.16722,0.000633444,0.254,0.00211148,7,5.00E-05,0.001,0.6,1000
204,18.24143533,242248.0541,12.76653793,Water,Pressure,0.005,3.16675,0.00063335,0.254,0.002111167,7,5.00E-05,0.001,0.6,1000
205,8.53113,239061,12.02630055,Water,Pressure,0.00275,3.108480833,0.001017321,0.03,0.00061,7,0.001963,0.0009,0.6,1000
206,15.35746073,233862.5676,12.54363326,Water,Pressure,0.005,2.98961,0.000597922,0.254,0.001993073,7,5.00E-05,0.001,0.6,1000
207,8.53175,239061,12.02630055,Water,Pressure,0.00275,2.9766825,0.000974187,0.03,0.00061,7,0.001963,0.0009,0.6,1000
208,11.1826,500000,26.2,Water,Pressure,0.00289,2.9478,0.00102,0.2,0.008,7,0.000625,0.001,0.6,1000
209,19.053572,239452.8919,12.69267134,Water,Pressure,0.005,2.82464,0.000564928,0.254,0.001883093,7,5.00E-05,0.001,0.6,1000
210,8.21906,239061,12.02630055,Water,Pressure,0.00275,2.7891325,0.000912807,0.03,0.00061,7,0.001963,0.0009,0.6,1000
211,18.2512043,236657.7297,12.61837234,Water,Pressure,0.005,2.78428,0.000556856,0.254,0.001856187,7,5.00E-05,0.001,0.6,1000
212,7.083947368,207000,9.889767439,FC-72,Pressure,0.001500571,0.10635297,2.70E-05,0.005,0.0007,12,4.90E-05,0.00064,0.057,1680
213,5.0625,200000,17.2,Water,Pressure,0.00121,2.7225,0.00225,0.4,0.008,7,0.000625,0.001,0.6,1000
214,9.002933333,2000000,49.6,Water,Pressure,0.00522,2.7144,0.00052,0.2,0.008,7,0.000625,0.001,0.6,1000
215,8.32608,1000000,36.1,Water,Pressure,0.00305,2.5193,0.000826,0.3,0.008,7,0.000625,0.001,0.6,1000
216,8.09843,239061,12.02630055,Water,Pressure,0.00275,2.484725833,0.000813183,0.03,0.00061,7,0.001963,0.0009,0.6,1000
217,22.34063333,272000,15.16047493,Water,Pressure,0.018027211,9.91496605,0.00055,0.0033,0.0007,7,4.90E-05,0.001,0.6,1000
218,14.02545833,136000,10.72007463,Water,Pressure,0.018027211,9.91496605,0.00055,0.0033,0.0007,7,4.90E-05,0.001,0.6,1000
219,11.88472603,1921582.144,20.48524538,HFE-7100,Pressure,0.00425342,0.987241168,6.00E-05,0.005,0.00015,6,0.000625,0.00038,0.073,1470
220,11.0025696,550000,19.89974874,Water,Pressure,0.036,2.448,6.80E-05,0.00866,0.0003,7,0.0001,0.001,0.6,1000
221,14.10128797,231067.4054,12.46844619,Water,Pressure,0.005,2.4467,0.00048934,0.254,0.001631133,7,5.00E-05,0.001,0.6,1000
222,7.421975,2000000,49.6,Water,Pressure,0.00352,2.4112,0.000685,0.4,0.008,7,0.000625,0.001,0.6,1000
223,10.84861644,1857439.918,19.57170421,HFE-7100,Pressure,0.00404046,0.937812032,6.00E-05,0.005,0.00015,6,0.000625,0.00038,0.073,1470
224,7.91965,239061,12.02630055,Water,Pressure,0.00275,2.278365833,0.000745647,0.03,0.00061,7,0.001963,0.0009,0.6,1000
225,19.49,272000,15.16047493,Water,Pressure,0.018027211,9.0136055,0.0005,0.005,0.0007,7,4.90E-05,0.001,0.6,1000
226,11.74866667,136000,10.72007463,Water,Pressure,0.018027211,9.0136055,0.0005,0.005,0.0007,7,4.90E-05,0.001,0.6,1000
227,10.56336699,500000,18.97366596,Water,Pressure,0.03,2.25,7.50E-05,0.00866,0.0003,7,0.0001,0.001,0.6,1000
228,10.54975198,550000,19.89974874,Water,Pressure,0.033,2.244,6.80E-05,0.00866,0.0003,7,0.0001,0.001,0.6,1000
229,14.29662,2434719.954,26.82932724,HFE-7000,Pressure,0.00469387,0.876189067,6.00E-05,0.005,0.00015,8,0.000625,0.00045,0.075,1400
230,13.13127309,228272.2432,12.39280296,Water,Pressure,0.005,2.15088,0.000430176,0.254,0.00143392,7,5.00E-05,0.001,0.6,1000
231,5.936866667,200000,17.2,Water,Pressure,0.00124,2.1328,0.00172,0.3,0.008,7,0.000625,0.001,0.6,1000
232,7.54681,1000000,36.1,Water,Pressure,0.00343,2.11974,0.000618,0.2,0.008,7,0.000625,0.001,0.6,1000
233,5.64075,500000,26.2,Water,Pressure,0.00157,2.1195,0.00135,0.4,0.008,7,0.000625,0.001,0.6,1000
234,9.629671233,1793297.692,18.74042394,HFE-7100,Pressure,0.0036442,0.845838,6.00E-05,0.005,0.00015,6,0.000625,0.00038,0.073,1470
235,7.68693,239061,12.02630055,Water,Pressure,0.00275,2.104248056,0.000688663,0.03,0.00061,7,0.001963,0.0009,0.6,1000
236,13.76272,2370577.728,26.12248568,HFE-7000,Pressure,0.0044498,0.830629333,6.00E-05,0.005,0.00015,8,0.000625,0.00045,0.075,1400
237,17.59561333,272000,15.16047493,Water,Pressure,0.018027211,8.29251706,0.00046,0.007,0.0007,7,4.90E-05,0.001,0.6,1000
238,9.468103333,136000,10.72007463,Water,Pressure,0.018027211,8.29251706,0.00046,0.007,0.0007,7,4.90E-05,0.001,0.6,1000
239,10.03925534,500000,18.97366596,Water,Pressure,0.027,2.025,7.50E-05,0.00866,0.0003,7,0.0001,0.001,0.6,1000
240,7.63013,239061,12.02630055,Water,Pressure,0.00275,2.014992222,0.000659452,0.03,0.00061,7,0.001963,0.0009,0.6,1000
241,13.91179913,225477.0811,12.31669518,Water,Pressure,0.005,2.00268,0.000400536,0.254,0.00133512,7,5.00E-05,0.001,0.6,1000
242,13.34746,2306435.502,25.57960715,HFE-7000,Pressure,0.00426677,0.796463733,6.00E-05,0.005,0.00015,8,0.000625,0.00045,0.075,1400
243,11.8796203,222681.9189,12.24011418,Water,Pressure,0.005,1.9736,0.00039472,0.254,0.001315733,7,5.00E-05,0.001,0.6,1000
244,8.959253425,1729155.466,17.60281355,HFE-7100,Pressure,0.00335439,0.778571574,6.00E-05,0.005,0.00015,6,0.000625,0.00038,0.073,1470
245,4.353,200000,17.2,Water,Pressure,0.00215,1.935,0.0009,0.1,0.008,7,0.000625,0.001,0.6,1000
246,6.229566667,2000000,49.6,Water,Pressure,0.0052,1.924,0.00037,0.1,0.008,7,0.000625,0.001,0.6,1000
247,12.87288,2242293.275,24.83704006,HFE-7000,Pressure,0.00402264,0.7508928,6.00E-05,0.005,0.00015,8,0.000625,0.00045,0.075,1400
248,9.654217674,500000,18.97366596,Water,Pressure,0.0249,1.8675,7.50E-05,0.00866,0.0003,7,0.0001,0.001,0.6,1000
249,9.494245498,450000,18,Water,Pressure,0.022,1.804,8.20E-05,0.00866,0.0003,7,0.0001,0.001,0.6,1000
250,7.016316563,182403.69,11.45995885,Water,Pressure,0.0116604,1.789684834,0.000153484,0.023,0.00051,7,0.000314,0.001,0.6,1000
251,5.371753333,1000000,36.1,Water,Pressure,0.00214,1.76764,0.000826,0.4,0.008,7,0.000625,0.001,0.6,1000
252,9.425464602,896000,28.14306435,PSF-3,Pressure,0.07,0.584200743,2.50E-05,0.004,0.00015,47,4.90E-05,0.00269,0.113,898
253,7.25464,689000,27.11799916,PAO-2,Pressure,0.121020408,0.581937526,2.80E-05,0.004,0.00015,76,4.90E-05,0.00461,0.14,791.7
254,6.786832397,182403.69,11.45995885,Water,Pressure,0.011366,1.744499144,0.000153484,0.023,0.00051,7,0.000314,0.001,0.6,1000
255,9.507780822,1665013.239,16.3826904,HFE-7100,Pressure,0.00295625,0.686161184,6.00E-05,0.005,0.00015,6,0.000625,0.00038,0.073,1470
256,12.04238,2178151.049,23.72943026,HFE-7000,Pressure,0.00367186,0.685413867,6.00E-05,0.005,0.00015,8,0.000625,0.00045,0.075,1400
257,6.557348232,182403.69,11.45995885,Water,Pressure,0.0110717,1.699328803,0.000153484,0.023,0.00051,7,0.000314,0.001,0.6,1000
258,9.447030387,219886.7568,12.16305101,Water,Pressure,0.005,1.6855,0.0003371,0.254,0.001123667,7,5.00E-05,0.001,0.6,1000
259,7.385714286,896000,30.92445374,PAO-2,Pressure,0.130204082,0.559016116,2.50E-05,0.004,0.00015,76,4.90E-05,0.00461,0.14,791.7
260,14.28413158,1600871.013,19.16219242,FC-72,Pressure,0.0042542,0.6700365,6.00E-05,0.005,0.00015,12,0.000625,0.00064,0.057,1680
261,6.404350261,182403.69,11.45995885,Water,Pressure,0.0108,1.6576272,0.000153484,0.023,0.00051,7,0.000314,0.001,0.6,1000
262,9.067087157,450000,18,Water,Pressure,0.02,1.64,8.20E-05,0.00866,0.0003,7,0.0001,0.001,0.6,1000
263,6.386279646,689000,24.67896772,PSF-3,Pressure,0.057755102,0.539849176,2.80E-05,0.004,0.00015,47,4.90E-05,0.00269,0.113,898
264,5.309025,500000,26.2,Water,Pressure,0.00251,1.60389,0.000639,0.1,0.008,7,0.000625,0.001,0.6,1000
265,6.46,500000,26.2,Water,Pressure,0.00157,1.6014,0.00102,0.3,0.008,7,0.000625,0.001,0.6,1000
266,6.236055052,182403.69,11.45995885,Water,Pressure,0.0103472,1.588129645,0.000153484,0.023,0.00051,7,0.000314,0.001,0.6,1000
267,12.64494737,1536728.787,18.30765291,FC-72,Pressure,0.00401091,0.631718325,6.00E-05,0.005,0.00015,12,0.000625,0.00064,0.057,1680
268,11.5678,2114008.823,22.72155649,HFE-7000,Pressure,0.00336657,0.6284264,6.00E-05,0.005,0.00015,8,0.000625,0.00045,0.075,1400
269,8.92230553,217091.5946,12.08549647,Water,Pressure,0.005,1.569,0.0003138,0.254,0.001046,7,5.00E-05,0.001,0.6,1000
270,7.2852,2000000,49.6,Water,Pressure,0.00301,1.5652,0.00052,0.3,0.008,7,0.000625,0.001,0.6,1000
271,4.621275,1000000,36.1,Water,Pressure,0.00355,1.55135,0.000437,0.1,0.008,7,0.000625,0.001,0.6,1000
272,6.4952,200000,17.2,Water,Pressure,0.0011,1.518,0.00138,0.2,0.008,7,0.000625,0.001,0.6,1000
273,5.954776517,196133,11.88342375,Water,Pressure,0.00998491,1.503987054,0.000150626,0.022,0.00051,7,0.000314,0.001,0.6,1000
274,8.640304621,450000,18,Water,Pressure,0.0181,1.4842,8.20E-05,0.00866,0.0003,7,0.0001,0.001,0.6,1000
275,9.185017892,214296.4324,12.00744102,Water,Pressure,0.005,1.46081,0.000292162,0.254,0.000973873,7,5.00E-05,0.001,0.6,1000
276,5.774602609,196133,11.88342375,Water,Pressure,0.00969057,1.459651797,0.000150626,0.022,0.00051,7,0.000314,0.001,0.6,1000
277,2.438641667,300000,15.18683641,Water,Gas,0.0291623,1.458115,5.00E-05,0.015,0.0001,7,0.00113411,0.001,0.6,1000
278,12.80107895,1472586.561,17.53006141,FC-72,Pressure,0.00367439,0.578716425,6.00E-05,0.005,0.00015,12,0.000625,0.00064,0.057,1680
279,6.3624,483000,22.70500477,PAO-2,Pressure,0.1,0.480859002,2.80E-05,0.004,0.00015,76,4.90E-05,0.00461,0.14,791.7
280,11.74853906,1280159.882,19.22681011,FC-74,Pressure,0.0042704,0.574071494,6.00E-05,0.005,0.00015,13,0.000625,0.00079,0.064,1770
281,3.124666667,200000,17.2,Water,Pressure,0.00082,1.4104,0.00172,0.4,0.008,7,0.000625,0.001,0.6,1000
282,5.654478303,196133,11.88342375,Water,Pressure,0.00935094,1.408494688,0.000150626,0.022,0.00051,7,0.000314,0.001,0.6,1000
283,8.392147668,400000,16.97056275,Water,Pressure,0.0157,1.3973,8.90E-05,0.00866,0.0003,7,0.0001,0.001,0.6,1000
284,5.486017699,483000,20.66288432,PSF-3,Pressure,0.049795918,0.465452997,2.80E-05,0.004,0.00015,47,4.90E-05,0.00269,0.113,898
285,10.44068,2049866.597,21.34227719,HFE-7000,Pressure,0.00297025,0.554446667,6.00E-05,0.005,0.00015,8,0.000625,0.00045,0.075,1400
286,5.474304395,196133,11.88342375,Water,Pressure,0.00907925,1.367571111,0.000150626,0.022,0.00051,7,0.000314,0.001,0.6,1000
287,5.41006,112234,8.240240895,Water,Pressure,0.00188,1.353426622,0.000647917,0.03,0.00051,7,0.001963,0.0009,0.6,1000
288,11.05335938,1216017.656,18.66866251,FC-74,Pressure,0.0040264,0.541270481,6.00E-05,0.005,0.00015,13,0.000625,0.00079,0.064,1770
289,5.338135,500000,26.2,Water,Pressure,0.00171,1.33551,0.000781,0.2,0.008,7,0.000625,0.001,0.6,1000
290,11.23997368,1408444.334,16.46592433,FC-72,Pressure,0.00336988,0.5307561,6.00E-05,0.005,0.00015,12,0.000625,0.00064,0.057,1680
291,4.2112,258000,14.0836927,Water,Gas,0.0264885,1.324425,5.00E-05,0.015,0.0001,7,0.00113411,0.001,0.6,1000
292,5.288666667,2000000,49.6,Water,Pressure,0.0033,1.32,0.0004,0.2,0.008,7,0.000625,0.001,0.6,1000
293,5.106457532,215746.3,12.46343997,Water,Pressure,0.00883019,1.297622911,0.000146953,0.02,0.00051,7,0.000314,0.001,0.6,1000
294,5.21178,112234,8.240240895,Water,Pressure,0.00188,1.268156089,0.000607096,0.03,0.00051,7,0.001963,0.0009,0.6,1000
295,4.959969532,215746.3,12.46343997,Water,Pressure,0.00853585,1.254368765,0.000146953,0.02,0.00051,7,0.000314,0.001,0.6,1000
296,10.70578125,1151875.429,17.836132,FC-74,Pressure,0.00372091,0.500203344,6.00E-05,0.005,0.00015,13,0.000625,0.00079,0.064,1770
297,7.940236283,400000,16.97056275,Water,Pressure,0.014,1.246,8.90E-05,0.00866,0.0003,7,0.0001,0.001,0.6,1000
298,20.33698333,272000,15.16047493,Water,Pressure,0.009013605,4.95748275,0.00055,0.0033,0.0007,7,4.90E-05,0.001,0.6,1000
299,9.4171,136000,10.72007463,Water,Pressure,0.009013605,4.95748275,0.00055,0.0033,0.0007,7,4.90E-05,0.001,0.6,1000
300,9.3245246,211501.2703,11.92887483,Water,Pressure,0.005,1.23047,0.000246094,0.254,0.000820313,7,5.00E-05,0.001,0.6,1000
301,4.842774234,215746.3,12.46343997,Water,Pressure,0.00824151,1.211114619,0.000146953,0.02,0.00051,7,0.000314,0.001,0.6,1000
302,10.38136,1985724.37,19.86295649,HFE-7000,Pressure,0.00257276,0.480248533,6.00E-05,0.005,0.00015,8,0.000625,0.00045,0.075,1400
303,7.963401035,205910.9459,11.77016926,Water,Pressure,0.005,1.17841,0.000235682,0.254,0.000785607,7,5.00E-05,0.001,0.6,1000
304,5.316801429,345000,19.18923138,PAO-2,Pressure,0.084693878,0.392713203,2.70E-05,0.004,0.00015,76,4.90E-05,0.00461,0.14,791.7
305,4.94624,112234,8.240240895,Water,Pressure,0.00188,1.171177333,0.00056067,0.03,0.00051,7,0.001963,0.0009,0.6,1000
306,3.513966372,345000,17.4633246,PSF-3,Pressure,0.043265306,0.389966769,2.70E-05,0.004,0.00015,47,4.90E-05,0.00269,0.113,898
307,11.00578947,1344302.108,15.32460364,FC-72,Pressure,0.00295723,0.465763725,6.00E-05,0.005,0.00015,12,0.000625,0.00064,0.057,1680
308,1.830941667,258000,14.0836927,Water,Gas,0.0231026,1.15513,5.00E-05,0.015,0.0001,7,0.00113411,0.001,0.6,1000
309,6.11099,1000000,36.1,Water,Pressure,0.00186,1.14948,0.000618,0.3,0.008,7,0.000625,0.001,0.6,1000
310,8.93396997,208706.1081,11.84978774,Water,Pressure,0.005,1.14545,0.00022909,0.254,0.000763633,7,5.00E-05,0.001,0.6,1000
311,9.017238938,1729400,46.4084488,PSF-3,Pressure,0.028367347,0.378793719,4.00E-05,0.004,0.00015,47,4.90E-05,0.00269,0.113,898
312,9.80203125,1087733.203,17.07856769,FC-74,Pressure,0.00337007,0.45303979,6.00E-05,0.005,0.00015,13,0.000625,0.00079,0.064,1770
313,17.94175,272000,15.16047493,Water,Pressure,0.009013605,4.5068025,0.0005,0.005,0.0007,7,4.90E-05,0.001,0.6,1000
314,6.375225,136000,10.72007463,Water,Pressure,0.009013605,4.5068025,0.0005,0.005,0.0007,7,4.90E-05,0.001,0.6,1000
315,3.789073333,1000000,36.1,Water,Pressure,0.00225,1.12275,0.000499,0.2,0.008,7,0.000625,0.001,0.6,1000
316,2.327725,293000,15.00861086,Water,Gas,0.0221914,1.10957,5.00E-05,0.015,0.0001,7,0.00113411,0.001,0.6,1000
317,4.58978,112234,8.240240895,Water,Pressure,0.00188,1.105239467,0.000529104,0.03,0.00051,7,0.001963,0.0009,0.6,1000
318,5.577,2000000,49.6,Water,Pressure,0.00211,1.0972,0.00052,0.4,0.008,7,0.000625,0.001,0.6,1000
319,7.740231126,200320.6216,11.6092943,Water,Pressure,0.005,1.09702,0.000219404,0.254,0.000731347,7,5.00E-05,0.001,0.6,1000
320,4.807525714,1385000,42.98504367,PAO-2,Pressure,0.091428571,0.361134922,2.30E-05,0.004,0.00015,76,4.90E-05,0.00461,0.14,791.7
321,6.900537213,197525.4595,11.52801497,Water,Pressure,0.005,1.08119,0.000216238,0.254,0.000720793,7,5.00E-05,0.001,0.6,1000
322,7.370519963,400000,16.97056275,Water,Pressure,0.012,1.068,8.90E-05,0.00866,0.0003,7,0.0001,0.001,0.6,1000
323,4.445588571,1212800,38.98005909,PAO-2,Pressure,0.076122449,0.352968733,2.70E-05,0.004,0.00015,76,4.90E-05,0.00461,0.14,791.7
324,4.32323,112234,8.240240895,Water,Pressure,0.00188,1.050612933,0.000502953,0.03,0.00051,7,0.001963,0.0009,0.6,1000
325,5.041663571,1557200,46.99002825,PAO-2,Pressure,0.107142857,0.349604121,1.90E-05,0.004,0.00015,76,4.90E-05,0.00461,0.14,791.7
326,4.30675601,294199.5,14.55416229,Water,Pressure,0.00772075,1.047010908,0.00013561,0.02,0.00051,7,0.000314,0.001,0.6,1000
327,16.00363,272000,15.16047493,Water,Pressure,0.009013605,4.1462583,0.00046,0.007,0.0007,7,4.90E-05,0.001,0.6,1000
328,4.189434667,136000,10.72007463,Water,Pressure,0.009013605,4.1462583,0.00046,0.007,0.0007,7,4.90E-05,0.001,0.6,1000
329,8.327045133,1557200,42.76367823,PSF-3,Pressure,0.023877551,0.342753812,4.30E-05,0.004,0.00015,47,4.90E-05,0.00269,0.113,898
330,3.92234,112234,8.240240895,Water,Pressure,0.00188,1.020459822,0.000488518,0.03,0.00051,7,0.001963,0.0009,0.6,1000
331,4.08,500000,26.2,Water,Pressure,0.001,1.02,0.00102,0.4,0.008,7,0.000625,0.001,0.6,1000
332,5.389725714,1729400,50.99501284,PAO-2,Pressure,0.122857143,0.337582647,1.60E-05,0.004,0.00015,76,4.90E-05,0.00461,0.14,791.7
333,7.52373911,203115.7838,11.69000853,Water,Pressure,0.005,1.00675,0.00020135,0.254,0.000671167,7,5.00E-05,0.001,0.6,1000
334,6.424336429,194730.2973,11.44615848,Water,Pressure,0.005,1.00642,0.000201284,0.254,0.000670947,7,5.00E-05,0.001,0.6,1000
335,4.158059354,294199.5,14.55416229,Water,Pressure,0.00731321,0.991744408,0.00013561,0.018,0.00051,7,0.000314,0.001,0.6,1000
336,9.106851563,999740,16.04183788,FC-74,Pressure,0.00294258,0.395572147,6.00E-05,0.005,0.00015,13,0.000625,0.00079,0.064,1770
337,2.948877876,207000,13.52703307,PSF-3,Pressure,0.036122449,0.325585464,2.70E-05,0.004,0.00015,47,4.90E-05,0.00269,0.113,898
338,6.875309735,1385000,39.11890766,PSF-3,Pressure,0.020612245,0.323405358,4.70E-05,0.004,0.00015,47,4.90E-05,0.00269,0.113,898
339,6.1275843,200000,17.2,Water,Pressure,0.0007,0.966,0.00138,0.3,0.008,7,0.000625,0.001,0.6,1000
340,4.049932769,294199.5,14.55416229,Water,Pressure,0.00704151,0.954899171,0.00013561,0.018,0.00051,7,0.000314,0.001,0.6,1000
341,4.032771429,1040600,34.9750745,PAO-2,Pressure,0.059795918,0.308072201,3.00E-05,0.004,0.00015,76,4.90E-05,0.00461,0.14,791.7
342,4.6629,207000,14.86391471,PAO-2,Pressure,0.066122449,0.306600186,2.70E-05,0.004,0.00015,76,4.90E-05,0.00461,0.14,791.7
343,1.665458333,258000,14.0836927,Water,Gas,0.0183126,0.91563,5.00E-05,0.015,0.0001,7,0.00113411,0.001,0.6,1000
344,8.620242188,947755.914,14.92991235,FC-74,Pressure,0.00256077,0.344245284,6.00E-05,0.005,0.00015,13,0.000625,0.00079,0.064,1770
345,3.708939118,392266,16.80569903,Water,Pressure,0.00672453,0.846436765,0.000125873,0.018,0.00051,7,0.000314,0.001,0.6,1000
346,5.768867257,1212800,35.47413709,PSF-3,Pressure,0.016326531,0.277963742,5.10E-05,0.004,0.00015,47,4.90E-05,0.00269,0.113,898
347,6.617412081,191935.1351,11.36371237,Water,Pressure,0.005,0.812155,0.000162431,0.254,0.000541437,7,5.00E-05,0.001,0.6,1000
348,4.122666667,2000000,49.6,Water,Pressure,0.00201,0.804,0.0004,0.3,0.008,7,0.000625,0.001,0.6,1000
349,3.58346447,392266,16.80569903,Water,Pressure,0.00629434,0.792287459,0.000125873,0.018,0.00051,7,0.000314,0.001,0.6,1000
350,3.560058333,500000,26.2,Water,Pressure,0.001,0.781,0.000781,0.3,0.008,7,0.000625,0.001,0.6,1000
351,6.431218449,189139.973,11.28066371,Water,Pressure,0.005,0.778,0.0001556,0.254,0.000518667,7,5.00E-05,0.001,0.6,1000
352,2.9574,224000,13.1229265,Water,Gas,0.0153292,0.76646,5.00E-05,0.015,0.0001,7,0.00113411,0.001,0.6,1000
353,3.0525,200000,17.2,Water,Pressure,0.00085,0.765,0.0009,0.2,0.008,7,0.000625,0.001,0.6,1000
354,3.93769,1000000,36.1,Water,Pressure,0.00123,0.76014,0.000618,0.4,0.008,7,0.000625,0.001,0.6,1000
355,4.409201062,1040600,31.82936652,PSF-3,Pressure,0.01244898,0.241038169,5.80E-05,0.004,0.00015,47,4.90E-05,0.00269,0.113,898
356,5.988086353,186344.8108,11.19699909,Water,Pressure,0.005,0.70378,0.000140756,0.254,0.000469188,7,5.00E-05,0.001,0.6,1000
357,3.025366667,2000000,49.6,Water,Pressure,0.00184,0.6808,0.00037,0.2,0.008,7,0.000625,0.001,0.6,1000
358,3.048473354,490332.5,18.78934272,Water,Pressure,0.00590943,0.66786605,0.000113017,0.018,0.00047,7,0.000314,0.001,0.6,1000
359,1.328366667,224000,13.1229265,Water,Gas,0.0131876,0.65938,5.00E-05,0.015,0.0001,7,0.00113411,0.001,0.6,1000
360,5.575165158,183549.6486,11.1127046,Water,Pressure,0.005,0.645815,0.000129163,0.254,0.000430542,7,5.00E-05,0.001,0.6,1000
361,4.970363916,180754.4865,11.0277658,Water,Pressure,0.005,0.63649,0.000127298,0.254,0.000424327,7,5.00E-05,0.001,0.6,1000
362,2.493336667,1000000,36.1,Water,Pressure,0.00125,0.62375,0.000499,0.3,0.008,7,0.000625,0.001,0.6,1000
363,2.890758624,490332.5,18.78934272,Water,Pressure,0.00550189,0.621807102,0.000113017,0.018,0.00047,7,0.000314,0.001,0.6,1000
364,2.5139,200000,17.2,Water,Pressure,0.00045,0.621,0.00138,0.4,0.008,7,0.000625,0.001,0.6,1000
365,3.213333333,2000000,49.6,Water,Pressure,0.00151,0.604,0.0004,0.4,0.008,7,0.000625,0.001,0.6,1000
366,4.971851133,177959.3243,10.94216767,Water,Pressure,0.005,0.592565,0.000118513,0.254,0.000395044,7,5.00E-05,0.001,0.6,1000
367,2.778099863,490332.5,18.78934272,Water,Pressure,0.00520755,0.588541678,0.000113017,0.018,0.00047,7,0.000314,0.001,0.6,1000
368,1.207616667,224000,13.1229265,Water,Gas,0.0116596,0.58298,5.00E-05,0.015,0.0001,7,0.00113411,0.001,0.6,1000
369,2.465475,500000,26.2,Water,Pressure,0.00087,0.55593,0.000639,0.2,0.008,7,0.000625,0.001,0.6,1000
370,2.811366667,1000000,36.1,Water,Pressure,0.00123,0.53751,0.000437,0.2,0.008,7,0.000625,0.001,0.6,1000
371,4.370840834,172369,10.76893046,Water,Pressure,0.005,0.53597,0.000107194,0.254,0.000357315,7,5.00E-05,0.001,0.6,1000
372,5.542200865,400000,15,Water,Pressure,0.00246,0.52770444,0.000214514,0.0100037,0.00064,7,0.0019635,0.001,0.6,1000
373,4.974504793,175164.1622,10.85589463,Water,Pressure,0.005,0.521,0.0001042,0.254,0.000347332,7,5.00E-05,0.001,0.6,1000
374,5.535075384,400000,15,Water,Pressure,0.00246,0.5165385,0.000209975,0.0130909,0.00064,7,0.0019635,0.001,0.6,1000
375,1.111091667,307000,15.3629945,Water,Gas,0.010309,0.51545,5.00E-05,0.015,0.0001,7,0.00113411,0.001,0.6,1000
376,6.61167005,400000,15,Water,Pressure,0.00246,0.50537256,0.000205436,0.029974,0.00064,7,0.0019635,0.001,0.6,1000
377,6.449002502,400000,15,Water,Pressure,0.00246,0.5019384,0.00020404,0.028141,0.00064,7,0.0019635,0.001,0.6,1000
378,5.703241332,400000,15,Water,Pressure,0.00246,0.49850178,0.000202643,0.0150204,0.00064,7,0.0019635,0.001,0.6,1000
379,1.883675,293000,15.00861086,Water,Gas,0.00991081,0.4955405,5.00E-05,0.019,0.0001,7,0.00113411,0.001,0.6,1000
380,4.953934664,300000,13.3,Water,Pressure,0.002181,0.494504673,0.000226733,0.0101002,0.00064,7,0.0019635,0.001,0.6,1000
381,6.212109904,400000,15,Water,Pressure,0.00246,0.492492,0.0002002,0.025102,0.00064,7,0.0019635,0.001,0.6,1000
382,6.022882241,400000,15,Water,Pressure,0.00246,0.48991392,0.000199152,0.0231243,0.00064,7,0.0019635,0.001,0.6,1000
383,4.994655855,300000,13.3,Water,Pressure,0.002181,0.489174309,0.000224289,0.0129462,0.00064,7,0.0019635,0.001,0.6,1000
384,5.876895764,400000,15,Water,Pressure,0.00246,0.4873383,0.000198105,0.0201336,0.00064,7,0.0019635,0.001,0.6,1000
385,5.669051922,400000,15,Water,Pressure,0.00246,0.4873383,0.000198105,0.0180111,0.00064,7,0.0019635,0.001,0.6,1000
386,2.33887833,735498.75,23.01215114,Water,Pressure,0.00477736,0.48609638,0.00010175,0.018,0.00047,7,0.000314,0.001,0.6,1000
387,5.731605168,300000,13.3,Water,Pressure,0.002181,0.483843945,0.000221845,0.0279963,0.00064,7,0.0019635,0.001,0.6,1000
388,5.838776317,300000,13.3,Water,Pressure,0.002181,0.483082776,0.000221496,0.0301187,0.00064,7,0.0019635,0.001,0.6,1000
389,5.56274933,300000,13.3,Water,Pressure,0.002181,0.482321607,0.000221147,0.0250056,0.00064,7,0.0019635,0.001,0.6,1000
390,1.828841667,500000,26.2,Water,Pressure,0.00061,0.47641,0.000781,0.4,0.008,7,0.000625,0.001,0.6,1000
391,1.500175,300000,15.18683641,Water,Gas,0.0095067,0.475335,5.00E-05,0.019,0.0001,7,0.00113411,0.001,0.6,1000
392,5.417849621,300000,13.3,Water,Pressure,0.002181,0.474707736,0.000217656,0.0229796,0.00064,7,0.0019635,0.001,0.6,1000
393,4.986006951,300000,13.3,Water,Pressure,0.002181,0.471660879,0.000216259,0.0150686,0.00064,7,0.0019635,0.001,0.6,1000
394,5.238468875,300000,13.3,Water,Pressure,0.002181,0.47089971,0.00021591,0.0198924,0.00064,7,0.0019635,0.001,0.6,1000
395,5.071693341,300000,13.3,Water,Pressure,0.002181,0.470138541,0.000215561,0.0180594,0.00064,7,0.0019635,0.001,0.6,1000
396,2.29843902,686465.5,22.23185013,Water,Pressure,0.00450566,0.466718791,0.000103585,0.015,0.00047,7,0.000314,0.001,0.6,1000
397,2.21057,1000000,36.1,Water,Pressure,0.00091,0.45409,0.000499,0.4,0.008,7,0.000625,0.001,0.6,1000
398,1.269483333,258000,14.0836927,Water,Gas,0.00795682,0.397841,5.00E-05,0.019,0.0001,7,0.00113411,0.001,0.6,1000
