,Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
42,166.4,779000,23.68290523,Water,Pressure,0.079340773,63.99999652,0.000806647,0.05,0.0427,7,0.002,0.001,0.6,1000
43,148.8,779000,23.68290523,Water,Pressure,0.076861374,61.99999675,0.000806647,0.05,0.0427,7,0.002,0.001,0.6,1000
44,95.48,131000,9.226256012,PF-5052,Pressure,0.14137271,62.00000006,0.000138,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
45,90.12161717,131000,9.226256012,PF-5052,Pressure,0.139597342,61.22139989,0.000138,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
46,156.2,500000,18.97366596,Water,Pressure,0.069127251,71.99997217,0.001041557,0.05,0.0427,7,0.002,0.001,0.6,1000
47,138,500000,18.97366596,Water,Pressure,0.06720705,69.99997338,0.001041557,0.05,0.0427,7,0.002,0.001,0.6,1000
48,140.3362319,700000,22.44994432,Water,Pressure,0.0805614,69.00003349,0.00085649,0.05,0.043,7,0.002,0.001,0.6,1000
49,151.8,700000,22.44994432,Water,Pressure,0.0805614,67.00001617,0.000831664,0.05,0.0429,7,0.002,0.001,0.6,1000
50,150.15,700000,22.44994432,Water,Pressure,0.0805614,66.00000751,0.000819251,0.05,0.0428,7,0.002,0.001,0.6,1000
51,146.56,700000,22.44994432,Water,Pressure,0.0805614,64.99999885,0.000806838,0.05,0.0427,7,0.002,0.001,0.6,1000
52,146.56,700000,22.44994432,Water,Pressure,0.079340773,65.00000762,0.000819251,0.05,0.0427,7,0.002,0.001,0.6,1000
53,138.6,700000,22.44994432,Water,Pressure,0.079340773,63.99999652,0.000806647,0.05,0.0427,7,0.002,0.001,0.6,1000
54,122,700000,22.44994432,Water,Pressure,0.076861374,61.99999675,0.000806647,0.05,0.0427,7,0.002,0.001,0.6,1000
55,105,100000,8.485281374,PF-5052,Pressure,0.14137271,62.00000006,0.000138,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
56,101,100000,8.485281374,PF-5052,Pressure,0.139597342,61.22139989,0.000138,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
57,90.06,131000,9.226256012,PF-5052,Pressure,0.137969942,56.99999983,0.00013,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
58,84.36578943,131000,9.226256012,PF-5052,Pressure,0.134130505,55.41379993,0.00013,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
59,88.02,131000,9.226256012,PF-5052,Pressure,0.134857838,53.99999982,0.000126,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
60,80.73403047,131000,9.226256012,PF-5052,Pressure,0.130155795,52.11719994,0.000126,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
61,95.2418467,200000,13,Water,Pressure,0.0282839,48.92944997,0.00172994,0.05,0.045,7,0.002,0.001,0.6,1000
62,84,131000,9.226256012,PF-5052,Pressure,0.126925024,47.99999984,0.000119,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
63,116.4084403,400000,18.38477631,Water,Pressure,0.0344809,47.52192119,0.00137821,0.05,0.045,7,0.002,0.001,0.6,1000
64,78.40546611,131000,9.226256012,PF-5052,Pressure,0.123786274,46.81299987,0.000119,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
65,80,195000,11.84905059,Water,Pressure,0.0282839,43.00001317,0.0015203,0.05,0.0445,7,0.002,0.001,0.6,1000
66,126.9465867,600000,22.5166605,Water,Pressure,0.0392479,42.9595739,0.00109457,0.05,0.045,7,0.002,0.001,0.6,1000
67,105,395000,16.86416319,Water,Pressure,0.0344809,42.00001194,0.001218066,0.05,0.0445,7,0.002,0.001,0.6,1000
68,116.6553705,800000,26,Water,Pressure,0.0440148,38.23702122,0.000868731,0.05,0.045,7,0.002,0.001,0.6,1000
69,91,390000,16.75708805,Water,Pressure,0.0344809,37.99998617,0.001102059,0.05,0.044,7,0.002,0.001,0.6,1000
70,105,595000,20.69782597,Water,Pressure,0.0392479,37.00001578,0.000942726,0.05,0.0445,7,0.002,0.001,0.6,1000
71,72,190000,11.69615321,Water,Pressure,0.0282839,37.00000804,0.001308165,0.05,0.044,7,0.002,0.001,0.6,1000
72,111,585000,20.52315765,Water,Pressure,0.0392479,37.00001578,0.000942726,0.05,0.0435,7,0.002,0.001,0.6,1000
73,76.7217858,103421,8.197741506,PF-5052,Pressure,0.087139086,34.44929995,0.0001244,0.01166,0.00119,9.65,0.0001,0.000517,0.062,1643
74,100,795000,23.92488244,Water,Pressure,0.0440148,33.00000827,0.000749748,0.05,0.0445,7,0.002,0.001,0.6,1000
75,78,385000,16.64932431,Water,Pressure,0.0344809,33.00001431,0.000957052,0.05,0.0435,7,0.002,0.001,0.6,1000
76,72.88181316,103421,8.197741506,PF-5052,Pressure,0.083773386,32.39989986,0.0001217,0.01166,0.00119,9.65,0.0001,0.000517,0.062,1643
77,91,590000,20.61067684,Water,Pressure,0.0392479,31.99999031,0.00081533,0.05,0.044,7,0.002,0.001,0.6,1000
78,61,185000,11.54123044,Water,Pressure,0.0282839,32.00000849,0.001131386,0.05,0.0435,7,0.002,0.001,0.6,1000
79,94.56077905,580000,20.43526364,Water,Pressure,0.0392479,31.99999031,0.00081533,0.05,0.043,7,0.002,0.001,0.6,1000
80,68.22489098,103421,8.197741506,PF-5052,Pressure,0.079961972,30.23969996,0.000119,0.01166,0.00119,9.65,0.0001,0.000517,0.062,1643
81,87,790000,23.8495283,Water,Pressure,0.0440148,28.00001502,0.00063615,0.05,0.044,7,0.002,0.001,0.6,1000
82,68.5880589,380000,16.5408585,Water,Pressure,0.0344809,28.00000796,0.000812044,0.05,0.043,7,0.002,0.001,0.6,1000
83,52.55587101,180000,11.38419958,Water,Pressure,0.0282839,27.00000893,0.000954607,0.05,0.043,7,0.002,0.001,0.6,1000
