y,u
0,6.50E-15
0.006587846,3.03E-02
0.007118689,3.27E-02
0.018231327,8.39E-02
0.019151814,8.81E-02
0.026593959,1.20E-01
0.027154223,1.22E-01
0.041054276,1.82E-01
0.0421874,1.87E-01
0.053054654,2.29E-01
0.071063504,2.96E-01
0.078688489,3.23E-01
0.094753185,3.78E-01
0.133879072,4.99E-01
0.136586943,5.08E-01
0.155848901,5.73E-01
0.161761132,5.90E-01
0.162439691,5.92E-01
0.177559988,6.28E-01
0.239259853,7.63E-01
0.267560135,8.22E-01
0.270110121,8.27E-01
0.278449881,8.41E-01
0.282413515,8.46E-01
0.291517963,8.57E-01
0.34951216,9.19E-01
0.391835227,9.63E-01
0.423780488,9.75E-01
0.436526347,9.79E-01
0.445930771,9.81E-01
0.530570699,9.99E-01
0.533084835,9.99E-01
0.541559025,1.00E+00
0.566164153,9.89E-01
0.567518164,9.88E-01
0.573447624,9.84E-01
0.596420619,9.59E-01
0.665262984,8.85E-01
0.671158712,8.78E-01
0.672150957,8.77E-01
0.71936194,8.18E-01
0.741395738,7.79E-01
0.775332069,7.18E-01
0.783641287,7.02E-01
0.791046338,6.86E-01
0.80062454,6.64E-01
0.809551742,6.44E-01
0.821018798,6.10E-01
0.851168147,5.21E-01
0.877801952,4.44E-01
0.897289457,3.90E-01
0.913813946,3.32E-01
0.935475122,2.56E-01
0.939510444,2.41E-01
0.944097738,2.23E-01
0.956276629,1.75E-01
0.958690053,1.66E-01
0.96039281,1.59E-01
0.968175414,1.29E-01
0.980105619,8.20E-02
0.981727583,7.53E-02
0.982757479,7.11E-02
0.989436109,4.35E-02
1,6.57E-15
