Nu,SVR,RFR,DT,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
94.56077905,93.60742913,92.39179408,94.56077905,580000,20.43526364,Water,Pressure,0.0392479,32,0.00081533,0.05,0.043,7,0.002,0.001,0.6,1000
68.22489098,71.50178085,68.40154499,68.22489098,103421,8.197741506,PF-5052,Pressure,0.079961972,30.2397,0.000119,0.01166,0.00119,9.65,0.0001,0.000517,0.062,1643
87,84.4,80.26074723,87,790000,23.8495283,Water,Pressure,0.0440148,28,0.00063615,0.05,0.044,7,0.002,0.001,0.6,1000
68.5880589,66.71686866,71.95865536,68.5880589,380000,16.5408585,Water,Pressure,0.0344809,28,0.000812044,0.05,0.043,7,0.002,0.001,0.6,1000
52.55587101,56.1035027,56.69908398,52.55587101,180000,11.38419958,Water,Pressure,0.0282839,27,0.000954607,0.05,0.043,7,0.002,0.001,0.6,1000
78.24973287,72.54951664,72.47169168,78.24973287,278585.1622,13.69058425,Water,Pressure,0.005,25.2664,0.00505328,0.254,0.016844267,7,0.00005,0.001,0.6,1000
48.47401026,59.55678047,53.56778339,48.47401026,200000,13,Water,Pressure,0.0214513,24.99762892,0.00116532,0.05,0.045,7,0.002,0.001,0.6,1000
72,71.65880589,67.82578245,72,785000,23.77393531,Water,Pressure,0.0440148,23,0.000522552,0.05,0.0435,7,0.002,0.001,0.6,1000
73.91668482,69.1501779,70.24238648,73.91668482,275790,13.62172941,Water,Pressure,0.005,22.5322,0.00450644,0.254,0.015021467,7,0.00005,0.001,0.6,1000
31.647,49.68282508,36.73841288,31.647,2000000,49.6,Water,Pressure,0.03272,22.4132,0.000685,0.1,0.008,7,0.000625,0.001,0.6,1000
52.28738984,51.52471392,51.26846311,52.28738984,400000,18.38477631,Water,Pressure,0.0246292,21.71389085,0.000881632,0.05,0.045,7,0.002,0.001,0.6,1000
32.5575,41.37637359,37.31153008,31.647,200000,17.2,Water,Pressure,0.00916,20.61,0.00225,0.1,0.008,7,0.000625,0.001,0.6,1000
65.92158567,57.41133832,66.94672117,65.92158567,272994.8378,13.55252474,Water,Pressure,0.005,20.3808,0.00407616,0.254,0.0135872,7,0.00005,0.001,0.6,1000
54.64227938,54.17130147,51.1919678,54.64227938,600000,22.5166605,Water,Pressure,0.028125,18.92235938,0.000672795,0.05,0.045,7,0.002,0.001,0.6,1000
42.804,44.72347359,39.1117394,42.804,500000,26.2,Water,Pressure,0.01375,18.5625,0.00135,0.1,0.008,7,0.000625,0.001,0.6,1000
54.9152785,55.1791984,62.39127217,54.9152785,780000,23.69810119,Water,Pressure,0.0440148,18,0.000408953,0.05,0.043,7,0.002,0.001,0.6,1000
41.74053333,44.29808692,39.04712237,41.74053333,1000000,36.1,Water,Pressure,0.02088,17.24688,0.000826,0.1,0.008,7,0.000625,0.001,0.6,1000
39.78933333,42.98457258,43.97778465,41.11335614,896000,21.88210837,FC-72,Pressure,0.009017857,16.5703125,0.00004,0.005,0.0007,12,0.000049,0.00064,0.057,1680
47.82901682,48.95618038,50.25396494,47.82901682,800000,26,Water,Pressure,0.0300318,15.26116971,0.000508167,0.05,0.045,7,0.002,0.001,0.6,1000
49.52867256,49.22450784,55.6229983,49.52867256,270199.6757,13.48296487,Water,Pressure,0.005,14.8703,0.00297406,0.254,0.009913533,7,0.00005,0.001,0.6,1000
41.11335614,43.63795107,44.15366669,41.11335614,689000,19.18866543,FC-72,Pressure,0.007834714,14.3962875,0.000043,0.005,0.0007,12,0.000049,0.00064,0.057,1680
50.53499013,49.59282673,48.82275759,50.53499013,41368.5,5.184713232,PF-5052,Pressure,0.036085813,12.5,0.000109,0.00943,0.00076,9.65,0.0001,0.000517,0.062,1643
45.60168908,43.80962849,47.24854737,45.60168908,41368.5,5.184713232,PF-5052,Pressure,0.034642381,12,0.000109,0.00943,0.00076,9.65,0.0001,0.000517,0.062,1643
27.21745263,40.3003645,41.24629885,45.60168908,483000,16.0660356,FC-72,Pressure,0.006204286,11.400375,0.000047,0.005,0.0007,12,0.000049,0.00064,0.057,1680
13.94826667,21.61583123,23.10483536,13.31917895,896000,21.2289111,FC-72,Pressure,0.005555,10.2073125,0.000016,0.005,0.0007,12,0.000049,0.00064,0.057,1680
29.91366667,29.07431705,29.428243,29.91366667,200000,17.2,Water,Pressure,0.00579,9.9588,0.00172,0.1,0.008,7,0.000625,0.001,0.6,1000
23.59931053,23.04042193,22.71039077,23.59931053,344000,13.5585854,FC-72,Pressure,0.005151,9.4649625,0.000051,0.005,0.0007,12,0.000049,0.00064,0.057,1680
21.22715801,22.45709237,24.62720296,21.22715801,200000,13,Water,Pressure,0.009375,8.979609375,0.000957825,0.05,0.045,7,0.002,0.001,0.6,1000
13.5892,19.32494685,18.77880142,13.31917895,689000,18.61586945,FC-72,Pressure,0.004804714,8.8286625,0.000019,0.005,0.0007,12,0.000049,0.00064,0.057,1680
17.75193333,16.67799044,16.09786479,12.88118,2000000,49.6,Water,Pressure,0.01653,8.5956,0.00052,0.1,0.008,7,0.000625,0.001,0.6,1000
19.142,18.14510627,19.49998119,19.142,500000,26.2,Water,Pressure,0.00796,8.1192,0.00102,0.1,0.008,7,0.000625,0.001,0.6,1000
20.0325,20.7234191,19.27388174,20.0325,200000,17.2,Water,Pressure,0.00348,7.83,0.00225,0.2,0.008,7,0.000625,0.001,0.6,1000
13.31917895,14.02257,14.26287409,13.31917895,483000,15.58645245,FC-72,Pressure,0.004242,7.794675,0.000023,0.005,0.0007,12,0.000049,0.00064,0.057,1680
22.92340961,17.99088391,23.5677929,22.40895827,400000,18.38477631,Water,Pressure,0.0106462,7.539340746,0.000708172,0.05,0.045,7,0.002,0.001,0.6,1000
25.45854035,16.25039737,18.33026724,21.91321053,207000,10.51768918,FC-72,Pressure,0.004025571,7.3969875,0.000058,0.005,0.0007,12,0.000049,0.00064,0.057,1680
32.29183717,30.54451856,30.47559077,32.29183717,256223.8649,13.12963885,Water,Pressure,0.005,7.06241,0.001412482,0.254,0.004708273,7,0.00005,0.001,0.6,1000
11.69606842,13.04870368,13.9033298,11.69606842,344000,13.15385151,FC-72,Pressure,0.003794714,6.9727875,0.000027,0.005,0.0007,12,0.000049,0.00064,0.057,1680
12.88118,14.74182343,13.82414604,12.88118,1000000,36.1,Water,Pressure,0.01066,6.58788,0.000618,0.1,0.008,7,0.000625,0.001,0.6,1000
28.79719995,29.64009575,30.45667688,28.79719995,264609.3514,13.34275727,Water,Pressure,0.005,6.48012,0.001296024,0.254,0.00432008,7,0.00005,0.001,0.6,1000
17.42183333,14.17977261,14.43899659,12.88118,2000000,49.6,Water,Pressure,0.00941,6.44585,0.000685,0.2,0.008,7,0.000625,0.001,0.6,1000
9.438196069,9.404515384,9.654265628,9.438196069,460000,15.77238092,Water,Pressure,0.047060302,6.278148548,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
9.368268847,9.369551773,9.462337146,9.368268847,460000,15.77238092,Water,Pressure,0.046554516,6.210673424,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
33.73152074,29.84228408,30.52549501,33.73152074,267404.5135,13.41304427,Water,Pressure,0.005,6.21,0.001242,0.254,0.00414,7,0.00005,0.001,0.6,1000
22.40895827,19.82541567,22.96852893,22.40895827,600000,22.5166605,Water,Pressure,0.0115996,6.147068825,0.000529938,0.05,0.045,7,0.002,0.001,0.6,1000
19.9395,20.37062707,19.29642534,19.9395,500000,26.2,Water,Pressure,0.00453,6.1155,0.00135,0.2,0.008,7,0.000625,0.001,0.6,1000
9.241243659,10.51923293,9.319064715,9.241243659,460000,15.77238092,Water,Pressure,0.045640112,6.088685967,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
9.150193747,10.43304124,9.101815234,9.150193747,460000,15.77238092,Water,Pressure,0.04498817,6.001712684,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
9.112039498,10.42159496,9.098826431,9.112039498,460000,15.77238092,Water,Pressure,0.044715846,5.965382933,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
21.91321053,16.95739386,19.9451102,21.91321053,138000,8.587657256,FC-72,Pressure,0.003203143,5.885775,0.000065,0.005,0.0007,12,0.000049,0.00064,0.057,1680
12.44691151,12.24814364,11.89792718,12.44691151,400000,16.97056275,Water,Pressure,0.055,5.83,0.000106,0.00866,0.0003,7,0.0001,0.001,0.6,1000
9.133557384,9.122334592,9.085948058,9.133557384,360000,13.95306418,Water,Pressure,0.040915333,5.816140622,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
9.125715408,9.117629406,9.085948058,9.125715408,360000,13.95306418,Water,Pressure,0.040864298,5.808885891,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.930695644,9.007536763,9.023779224,8.930695644,460000,15.77238092,Water,Pressure,0.043428592,5.793654847,0.000133406,0.023,0.0006,7,0.0004,0.001,0.6,1000
10.94705263,12.11101281,14.47372184,11.69606842,207000,10.20372831,FC-72,Pressure,0.003131,5.7532125,0.00003,0.005,0.0007,12,0.000049,0.00064,0.057,1680
9.029171435,8.991095109,9.022137221,9.029171435,360000,13.95306418,Water,Pressure,0.040237621,5.719803403,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
26.05698958,27.46700695,29.52882616,33.73152074,259019.027,13.20106062,Water,Pressure,0.005,5.69629,0.001139258,0.254,0.003797527,7,0.00005,0.001,0.6,1000
11.94999183,11.9996838,11.89310998,11.94999183,400000,16.97056275,Water,Pressure,0.053,5.671,0.000107,0.00866,0.0003,7,0.0001,0.001,0.6,1000
8.839755713,8.839755713,8.856013082,8.839755713,360000,13.95306418,Water,Pressure,0.039016921,5.546280117,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
11.3695267,11.5288771,11.15966836,10.897205,400000,16.97056275,Water,Pressure,0.051,5.508,0.000108,0.00866,0.0003,7,0.0001,0.001,0.6,1000
10.897205,10.99647493,10.97132141,10.897205,350000,15.87450787,Water,Pressure,0.049,5.39,0.00011,0.00866,0.0003,7,0.0001,0.001,0.6,1000
12.35723684,12.31892,12.24116145,12.35723684,896000,20.57571384,FC-72,Pressure,0.002885714,5.3025,0.000025,0.005,0.0007,12,0.000049,0.00064,0.057,1680
8.559221434,8.719390981,8.601586845,8.839755713,360000,13.95306418,Water,Pressure,0.037230713,5.292369477,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.736628113,8.660485968,8.657584698,8.736628113,260000,11.85782442,Water,Pressure,0.033935885,5.248222447,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
9.083209623,8.467872177,8.406642626,8.621361482,160000,9.302042786,Water,Pressure,0.029912728,5.245901074,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.682500223,8.64966039,8.652395933,8.682500223,260000,11.85782442,Water,Pressure,0.033630807,5.20104177,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.433726115,8.697551558,8.605781814,8.682500223,360000,13.95306418,Water,Pressure,0.036440159,5.179991817,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.621361482,8.570713905,8.648300838,8.621361482,260000,11.85782442,Water,Pressure,0.033287249,5.147910139,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.368123597,8.53493702,8.444653656,8.368123597,360000,13.95306418,Water,Pressure,0.03602901,5.12154668,0.000142151,0.023,0.0006,7,0.0004,0.001,0.6,1000
10.50863162,10.55277353,10.57735044,10.50863162,350000,15.87450787,Water,Pressure,0.046,5.106,0.000111,0.00866,0.0003,7,0.0001,0.001,0.6,1000
25.33125725,23.99173225,27.62325782,25.33125725,261814.1892,13.27209804,Water,Pressure,0.005,5.08016,0.001016032,0.254,0.003386773,7,0.00005,0.001,0.6,1000
14.7338,14.86830851,15.77943155,14.7338,200000,17.2,Water,Pressure,0.0036,4.968,0.00138,0.1,0.008,7,0.000625,0.001,0.6,1000
16.78845,14.82452,16.49516128,16.78845,1000000,36.1,Water,Pressure,0.00601,4.96426,0.000826,0.2,0.008,7,0.000625,0.001,0.6,1000
25.145725,20.31859821,21.37572632,21.6393375,272000,15.16047493,Water,Pressure,0.036054422,4.957482993,0.00055,0.0033,0.0007,7,0.000049,0.001,0.6,1000
18.13295,20.31859821,21.37572632,21.6393375,136000,10.72007463,Water,Pressure,0.036054422,4.957482993,0.00055,0.0033,0.0007,7,0.000049,0.001,0.6,1000
8.722641618,8.366594873,8.288728144,8.182796695,160000,9.302042786,Water,Pressure,0.02820296,4.946053001,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.385157679,8.589354305,8.460456108,8.182796695,260000,11.85782442,Water,Pressure,0.031970337,4.944248232,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.367579002,8.589354305,8.460456108,8.182796695,260000,11.85782442,Water,Pressure,0.031872995,4.929194154,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
10.172904,10.16052167,10.29440007,10.172904,300000,14.69693846,Water,Pressure,0.044,4.928,0.000112,0.00866,0.0003,7,0.0001,0.001,0.6,1000
20.31155783,19.88442218,20.90945812,20.31155783,800000,26,Water,Pressure,0.0123941,4.822779798,0.000389119,0.05,0.045,7,0.002,0.001,0.6,1000
8.182796695,8.285788025,8.294274434,8.182796695,260000,11.85782442,Water,Pressure,0.030855383,4.771819453,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
9.041897881,9.127190114,8.650396626,9.041897881,300000,14.69693846,Water,Pressure,0.042,4.746,0.000113,0.00866,0.0003,7,0.0001,0.001,0.6,1000
8.385807499,8.363340555,8.289071868,8.385807499,160000,9.302042786,Water,Pressure,0.026634386,4.670966735,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.378587954,8.359730783,8.289071868,8.378587954,160000,9.302042786,Water,Pressure,0.026601074,4.66512459,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.285698434,8.322574975,8.289806364,8.285698434,160000,9.302042786,Water,Pressure,0.026173623,4.590161038,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
12.12925614,11.80885053,11.676657,12.12925614,689000,18.04307346,FC-72,Pressure,0.002481714,4.56015,0.000028,0.005,0.0007,12,0.000049,0.00064,0.057,1680
8.337352926,8.478261917,8.060354215,8.337352926,300000,14.69693846,Water,Pressure,0.04,4.56,0.000114,0.00866,0.0003,7,0.0001,0.001,0.6,1000
7.913420228,8.271800846,8.245769164,8.285698434,260000,11.85782442,Water,Pressure,0.029390499,4.545273384,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
21.949,18.39537356,18.25224155,18.71583334,272000,15.16047493,Water,Pressure,0.036054422,4.506802721,0.0005,0.005,0.0007,7,0.000049,0.001,0.6,1000
15.48266667,18.39537356,18.25224155,18.71583334,136000,10.72007463,Water,Pressure,0.036054422,4.506802721,0.0005,0.005,0.0007,7,0.000049,0.001,0.6,1000
10.45875,11.67838149,11.21078141,10.45875,200000,17.2,Water,Pressure,0.00196,4.41,0.00225,0.3,0.008,7,0.000625,0.001,0.6,1000
8.017798171,8.248030044,8.004818807,8.017798171,250000,13.41640786,Water,Pressure,0.038,4.37,0.000115,0.00866,0.0003,7,0.0001,0.001,0.6,1000
7.921330669,8.048575479,8.029276722,7.921330669,160000,9.302042786,Water,Pressure,0.024517944,4.299798662,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
22.27584453,20.75491105,20.02607022,20.44041566,253428.7027,13.05782643,Water,Pressure,0.005,4.27787,0.000855574,0.254,0.002851913,7,0.00005,0.001,0.6,1000
