Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
90.12161717,131000,9.226256012,PF-5052,Pressure,0.139597342,61.2214,0.000138,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
156.2,500000,18.97366596,Water,Pressure,0.069127251,71,0.001041557,0.05,0.0427,7,0.002,0.001,0.6,1000
138,500000,18.97366596,Water,Pressure,0.06720705,69,0.001041557,0.05,0.0427,7,0.002,0.001,0.6,1000
140.3362319,700000,22.44994432,Water,Pressure,0.0805614,68,0.00085649,0.05,0.043,7,0.002,0.001,0.6,1000
151.8,700000,22.44994432,Water,Pressure,0.0805614,66,0.000831664,0.05,0.0429,7,0.002,0.001,0.6,1000
150.15,700000,22.44994432,Water,Pressure,0.0805614,65,0.000819251,0.05,0.0428,7,0.002,0.001,0.6,1000
146.56,700000,22.44994432,Water,Pressure,0.0805614,64,0.000806838,0.05,0.0427,7,0.002,0.001,0.6,1000
146.56,700000,22.44994432,Water,Pressure,0.079340773,64,0.000819251,0.05,0.0427,7,0.002,0.001,0.6,1000
138.6,700000,22.44994432,Water,Pressure,0.079340773,63,0.000806647,0.05,0.0427,7,0.002,0.001,0.6,1000
122,700000,22.44994432,Water,Pressure,0.076861374,61,0.000806647,0.05,0.0427,7,0.002,0.001,0.6,1000
105,100000,8.485281374,PF-5052,Pressure,0.14137271,61,0.000138,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
101,100000,8.485281374,PF-5052,Pressure,0.139597342,60,0.000138,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
90.06,131000,9.226256012,PF-5052,Pressure,0.137969942,57,0.00013,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
84.36578943,131000,9.226256012,PF-5052,Pressure,0.134130505,55.4138,0.00013,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
88.02,131000,9.226256012,PF-5052,Pressure,0.134857838,54,0.000126,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
80.73403047,131000,9.226256012,PF-5052,Pressure,0.130155795,52.1172,0.000126,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
95.2418467,200000,13,Water,Pressure,0.0282839,48.92944997,0.00172994,0.05,0.045,7,0.002,0.001,0.6,1000
84,131000,9.226256012,PF-5052,Pressure,0.126925024,48,0.000119,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
