Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
105,100000,8.485281374,PF-5052,Pressure,14.137271,61,0.138,0.0111,1.7,9.65,0.0001,0.000517,0.062,16.43
101,100000,8.485281374,PF-5052,Pressure,13.9597342,60,0.138,0.0111,1.7,9.65,0.0001,0.000517,0.062,16.43
90.06,131000,9.226256012,PF-5052,Pressure,13.7969942,57,0.13,0.0111,1.7,9.65,0.0001,0.000517,0.062,16.43
84.36578943,131000,9.226256012,PF-5052,Pressure,13.4130505,55.4138,0.13,0.0111,1.7,9.65,0.0001,0.000517,0.062,16.43
88.02,131000,9.226256012,PF-5052,Pressure,13.4857838,54,0.126,0.0111,1.7,9.65,0.0001,0.000517,0.062,16.43
80.73403047,131000,9.226256012,PF-5052,Pressure,13.0155795,52.1172,0.126,0.0111,1.7,9.65,0.0001,0.000517,0.062,16.43
95.2418467,200000,13,Water,Pressure,2.82839,48.92944997,1.72994,0.05,45,7,0.002,0.001,0.6,10
84,131000,9.226256012,PF-5052,Pressure,12.6925024,48,0.119,0.0111,1.7,9.65,0.0001,0.000517,0.062,16.43
116.4084403,400000,18.38477631,Water,Pressure,3.44809,47.52192119,1.37821,0.05,45,7,0.002,0.001,0.6,10
78.40546611,131000,9.226256012,PF-5052,Pressure,12.3786274,46.813,0.119,0.0111,1.7,9.65,0.0001,0.000517,0.062,16.43
80,195000,11.84905059,Water,Pressure,2.82839,43,1.5203,0.05,44.5,7,0.002,0.001,0.6,10
126.9465867,600000,22.5166605,Water,Pressure,3.92479,42.9595739,1.09457,0.05,45,7,0.002,0.001,0.6,10
105,395000,16.86416319,Water,Pressure,3.44809,42,1.218066,0.05,44.5,7,0.002,0.001,0.6,10
116.6553705,800000,26,Water,Pressure,4.40148,38.23702122,0.868731,0.05,45,7,0.002,0.001,0.6,10
91,390000,16.75708805,Water,Pressure,3.44809,38,1.102059,0.05,44,7,0.002,0.001,0.6,10
105,595000,20.69782597,Water,Pressure,3.92479,37,0.942726,0.05,44.5,7,0.002,0.001,0.6,10
72,190000,11.69615321,Water,Pressure,2.82839,37,1.308165,0.05,44,7,0.002,0.001,0.6,10
111,585000,20.52315765,Water,Pressure,3.92479,37,0.942726,0.05,43.5,7,0.002,0.001,0.6,10
