P,Fluid,um,Q,Re,Nu,dd,H,dn,Pr,At,mio,k,rho
260000,water,11.85782442,33.287249,5.147910139,8.621361482,1.55E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
260000,water,11.85782442,33.630807,5.20104177,8.682500223,1.55E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
260000,water,11.85782442,33.935885,5.248222447,8.736628113,1.55E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
160000,water,9.302042786,23.951845,4.200519871,7.79500326,1.75E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
160000,water,9.302042786,26.634386,4.670966735,8.385807499,1.75E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
160000,water,9.302042786,26.601074,4.66512459,8.378587954,1.75E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
160000,water,9.302042786,24.517944,4.299798662,7.921330669,1.75E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
160000,water,9.302042786,26.173623,4.590161038,8.285698434,1.75E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
160000,water,9.302042786,28.20296,4.946053001,8.722641618,1.75E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
160000,water,9.302042786,29.912728,5.245901074,9.083209623,1.75E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
172369,water,10.76893046,5,0.535972,4.370840834,1.07E+02,2.54E+02,3.57E+02,7,0.5,1,0.6,1000
175164.1622,water,10.85589463,5,0.520998,4.974504793,1.04E+02,2.54E+02,3.47E+02,7,0.5,1,0.6,1000
177959.3243,water,10.94216767,5,0.592566,4.971851133,1.19E+02,2.54E+02,3.95E+02,7,0.5,1,0.6,1000
180754.4865,water,11.0277658,5,0.636491,4.970363916,1.27E+02,2.54E+02,4.24E+02,7,0.5,1,0.6,1000
183549.6486,water,11.1127046,5,0.645813,5.575165158,1.29E+02,2.54E+02,4.31E+02,7,0.5,1,0.6,1000
186344.8108,water,11.19699909,5,0.703782,5.988086353,1.41E+02,2.54E+02,4.69E+02,7,0.5,1,0.6,1000
189139.973,water,11.28066371,5,0.778001,6.431218449,1.56E+02,2.54E+02,5.19E+02,7,0.5,1,0.6,1000
191935.1351,water,11.36371237,5,0.812156,6.617412081,1.62E+02,2.54E+02,5.41E+02,7,0.5,1,0.6,1000
194730.2973,water,11.44615848,5,1.00642,6.424336429,2.01E+02,2.54E+02,6.71E+02,7,0.5,1,0.6,1000
197525.4595,water,11.52801497,5,1.08119,6.900537213,2.16E+02,2.54E+02,7.21E+02,7,0.5,1,0.6,1000
200320.6216,water,11.6092943,5,1.09702,7.740231126,2.19E+02,2.54E+02,7.31E+02,7,0.5,1,0.6,1000
203115.7838,water,11.69000853,5,1.00675,7.52373911,2.01E+02,2.54E+02,6.71E+02,7,0.5,1,0.6,1000
205910.9459,water,11.77016926,5,1.17841,7.963401035,2.36E+02,2.54E+02,7.86E+02,7,0.5,1,0.6,1000
208706.1081,water,11.84978774,5,1.14545,8.93396997,2.29E+02,2.54E+02,7.64E+02,7,0.5,1,0.6,1000
211501.2703,water,11.92887483,5,1.23047,9.3245246,2.46E+02,2.54E+02,8.20E+02,7,0.5,1,0.6,1000
214296.4324,water,12.00744102,5,1.46081,9.185017892,2.92E+02,2.54E+02,9.74E+02,7,0.5,1,0.6,1000
217091.5946,water,12.08549647,5,1.569,8.92230553,3.14E+02,2.54E+02,1.05E+03,7,0.5,1,0.6,1000
219886.7568,water,12.16305101,5,1.6855,9.447030387,3.37E+02,2.54E+02,1.12E+03,7,0.5,1,0.6,1000
222681.9189,water,12.24011418,5,1.9736,11.8796203,3.95E+02,2.54E+02,1.32E+03,7,0.5,1,0.6,1000
225477.0811,water,12.31669518,5,2.00268,13.91179913,4.01E+02,2.54E+02,1.34E+03,7,0.5,1,0.6,1000
228272.2432,water,12.39280296,5,2.15088,13.13127309,4.30E+02,2.54E+02,1.43E+03,7,0.5,1,0.6,1000
231067.4054,water,12.46844619,5,2.4467,14.10128797,4.89E+02,2.54E+02,1.63E+03,7,0.5,1,0.6,1000
233862.5676,water,12.54363326,5,2.98961,15.35746073,5.98E+02,2.54E+02,1.99E+03,7,0.5,1,0.6,1000
236657.7297,water,12.61837234,5,2.78428,18.2512043,5.57E+02,2.54E+02,1.86E+03,7,0.5,1,0.6,1000
239452.8919,water,12.69267134,5,2.82464,19.053572,5.65E+02,2.54E+02,1.88E+03,7,0.5,1,0.6,1000
242248.0541,water,12.76653793,5,3.16675,18.24143533,6.33E+02,2.54E+02,2.11E+03,7,0.5,1,0.6,1000
245043.2162,water,12.83997959,5,3.16722,19.59943865,6.33E+02,2.54E+02,2.11E+03,7,0.5,1,0.6,1000
247838.3784,water,12.91300356,5,3.50102,20.4538006,7.00E+02,2.54E+02,2.33E+03,7,0.5,1,0.6,1000
250633.5405,water,12.98561689,5,4.09748,20.44041566,8.19E+02,2.54E+02,2.73E+03,7,0.5,1,0.6,1000
253428.7027,water,13.05782643,5,4.27787,22.27584453,8.56E+02,2.54E+02,2.85E+03,7,0.5,1,0.6,1000
256223.8649,water,13.12963885,5,7.06241,32.29183717,1.41E+03,2.54E+02,4.71E+03,7,0.5,1,0.6,1000
259019.027,water,13.20106062,5,5.69629,26.05698958,1.14E+03,2.54E+02,3.80E+03,7,0.5,1,0.6,1000
261814.1892,water,13.27209804,5,5.08016,25.33125725,1.02E+03,2.54E+02,3.39E+03,7,0.5,1,0.6,1000
264609.3514,water,13.34275727,5,6.48012,28.79719995,1.30E+03,2.54E+02,4.32E+03,7,0.5,1,0.6,1000
267404.5135,water,13.41304427,5,6.21,33.73152074,1.24E+03,2.54E+02,4.14E+03,7,0.5,1,0.6,1000
270199.6757,water,13.48296487,5,14.8703,49.52867256,2.97E+03,2.54E+02,9.91E+03,7,0.5,1,0.6,1000
272994.8378,water,13.55252474,5,20.3808,65.92158567,4.08E+03,2.54E+02,1.36E+04,7,0.5,1,0.6,1000
275790,water,13.62172941,5,22.5322,73.91668482,4.51E+03,2.54E+02,1.50E+04,7,0.5,1,0.6,1000
278585.1622,water,13.69058425,5,25.2664,78.24973287,5.05E+03,2.54E+02,1.68E+04,7,0.5,1,0.6,1000
41368.5,PF-5052,5.184713232,34.642381,12,45.60168908,1.09E+02,9.43E+00,7.60E+02,9.65,1,0.517,0.062,1643
41368.5,PF-5052,5.184713232,36.085813,12.5,50.53499013,1.09E+02,9.43E+00,7.60E+02,9.65,1,0.517,0.062,1643
